sequence,selection_rank,horizon_m,gt_arc_m,native_relative_error_m,intervention_relative_error_m,delta_relative_error_m,native_endpoint_error_m,intervention_endpoint_error_m
stairs_alpha,1,5.0,5.07917152551957,0.12338427677061631,0.09833079773312245,-0.02505347903749386,0.3364726566915077,0.3514057410444652
stairs_alpha,1,10.0,10.005025694266308,0.13354963348637375,0.10101350109838297,-0.032536132387990774,0.236347385624352,0.2562611548280886
stairs_alpha,1,20.0,20.033244740418336,0.1770436800824929,0.16707598822238515,-0.009967691860107764,0.20177692955152413,0.20549319726714313
stairs_alpha,2,5.0,5.058068763719999,0.33905547802552055,0.30685558316601025,-0.0321998948595103,0.12157154755565165,0.1375944708770133
stairs_alpha,2,10.0,10.093462178917258,0.2806089939369279,0.2454447948466336,-0.03516419909029431,0.08814597175445468,0.0941581342440187
stairs_alpha,2,20.0,20.049261880579767,0.3326199655542237,0.31278362375894236,-0.01983634179528132,0.06490255800715099,0.060966750119640215
stairs_alpha,3,5.0,5.082532265657058,0.09333192915955399,0.0920732804081024,-0.0012586487514515826,0.14106656312143837,0.14219140410951553
stairs_alpha,3,10.0,10.011523384151664,0.06854967858416168,0.05941108917398479,-0.009138589410176888,0.1727619705191405,0.17568533832509697
stairs_alpha,3,20.0,20.025310597927955,0.18693885293438028,0.17459728454744777,-0.012341568386932511,0.2501066578410695,0.24957315757605456
stairs_alpha,4,5.0,5.037298475891535,0.03492901261930329,0.02941364175315852,-0.0055153708661447726,0.224542883647264,0.2253326721677518
stairs_alpha,4,10.0,10.133396725476711,0.05251875608165064,0.0482287876148253,-0.0042899684668253404,0.24017201584960612,0.2411117838225058
stairs_alpha,4,20.0,20.06478942470024,0.06726603819791328,0.06587275369079994,-0.001393284507113346,0.23042438077979704,0.22875069608120768
stairs_alpha,5,5.0,5.051191649182733,0.32338287791832315,0.304641311668883,-0.018741566249440178,0.26997883238529435,0.2674163220316436
stairs_alpha,5,10.0,10.028352805080555,0.10778901936739993,0.08952765352754999,-0.01826136583984994,0.22865420538858572,0.2285566680291314
stairs_alpha,5,20.0,20.070205923618545,0.28607335402989686,0.27766151608302114,-0.008411837946875722,0.22082353781245198,0.22631371694024124
tunnel1_gamma,4,5.0,5.18941267233364,0.2985459254017359,0.29915179712264034,0.0006058717209044273,0.07433539169014504,0.07754188594424187
tunnel1_gamma,4,10.0,10.429949809743135,0.399341986314402,0.39684851711306524,-0.002493469201336751,0.17104913814038353,0.17038726958103179
tunnel1_gamma,4,20.0,20.298006129728584,0.1633640170117865,0.15872335181643654,-0.004640665195349947,0.06552321292520782,0.06834716554655604
