sequence,selection_rank,horizon_s,available,native_rpe_m,intervention_rpe_m,delta_rpe_m,native_endpoint_error_m,intervention_endpoint_error_m,native_suffix_ate_m,intervention_suffix_ate_m,delta_suffix_ate_m,native_rot_rpe_rad,intervention_rot_rpe_rad,native_end_time,intervention_end_time
stairs_alpha,1,1.0,1,0.054047630872261304,0.0687138234448966,0.014666192572635295,0.28326690877639676,0.28257758060191324,0.3076646969137473,0.3102922228345994,0.0026275259208520807,0.042033347811898235,0.047840467398290745,1705542316.8796031,1705542316.8796031
stairs_alpha,1,5.0,1,0.12474187729612217,0.10424405429860376,-0.020497822997518414,0.36616199436107544,0.3795017188974288,0.3104351215703331,0.32219717907327877,0.011762057502945678,0.0215775707421951,0.03179227972797648,1705542320.8784928,1705542320.8784928
stairs_alpha,1,10.0,1,0.11292124477608935,0.09085196460291282,-0.022069280173176525,0.2387378455658369,0.2516965268690742,0.30463928340252894,0.31958447390532596,0.014945190502797023,0.014362249168556523,0.003695885678029493,1705542325.8780487,1705542325.8780487
stairs_alpha,1,20.0,1,0.19712597483254132,0.19158294505266016,-0.0055430297798811645,0.1842589586191671,0.18772584607952228,0.2583492552180967,0.2698944721167017,0.011545216898604993,0.01947650323183094,0.008076966922466802,1705542335.8765557,1705542335.8765557
stairs_alpha,2,1.0,1,0.010030609717669947,0.028812300474284378,0.01878169075661443,0.27612289981994065,0.2743198274409215,0.2644125745622495,0.26289405381408804,-0.0015185207481614449,0.011126701418673043,0.008816684460265366,1705542377.9737298,1705542377.9737298
stairs_alpha,2,5.0,1,0.289364924770986,0.26995365433411594,-0.019411270436870076,0.13669414319976622,0.1764164121945338,0.20757435547015915,0.23150979834332122,0.02393544287316207,0.03502811109299887,0.03232944744033123,1705542381.9624612,1705542381.9624612
stairs_alpha,2,10.0,1,0.3764598292039567,0.35074074248643233,-0.025719086717524375,0.11531194220666244,0.10780484484288219,0.15339783259619597,0.16521875681123024,0.011820924215034279,0.04372882173523985,0.044001144906772094,1705542386.9728878,1705542386.9728878
stairs_alpha,2,20.0,1,0.28686387535385877,0.2633000213681534,-0.023563853985705374,0.05616229460244967,0.04715345749727551,0.1493039718647368,0.15633830711714825,0.0070343352524114555,0.0315868293874807,0.03998746329446117,1705542396.9529457,1705542396.9529457
stairs_alpha,3,1.0,1,0.018386176848803063,0.03801385584002687,0.019627678991223804,0.19442511283075395,0.1972831298048427,0.1965932243384573,0.1986162210603184,0.002022996721861098,0.0007198995810918356,0.002819506229123867,1705542469.5704157,1705542469.5704157
stairs_alpha,3,5.0,1,0.0228780303529653,0.03432274132681591,0.011444710973850612,0.18620989034713753,0.18622880518923635,0.1942793142608813,0.19473731724959017,0.0004580029887088777,0.003666910279499092,0.003766525495005718,1705542473.5699344,1705542473.5699344
