sequence_frame,timestamp,registration_success,weak_flag,weak_multiplier,q_weak,rolling_weak_fraction,rolling_q_median,rolling_successful_frames,rolling_q_frames,gate_candidate,state_before,state_after,selected_estimator,mode_switch
5,1.70658e+09,1,1,4.27146,0.00246064,1.0,0.00246064,1,1,g0,Native,Native,Native,0
7,1.70658e+09,1,1,4.57701,0.336521,1.0,0.16949082000000001,2,2,g0,Native,Native,Native,0
9,1.70658e+09,1,1,4.19658,0.315243,1.0,0.315243,3,3,g0,Native,Native,Native,0
11,1.70658e+09,1,1,4.93217,0.376473,1.0,0.325882,4,4,g0,Native,Native,Native,0
13,1.70658e+09,1,1,4.60781,0.343186,1.0,0.336521,5,5,g0,Native,Native,Native,0
15,1.70658e+09,1,1,4.27905,0.329496,1.0,0.33300850000000004,6,6,g0,Native,Native,Native,0
17,1.70658e+09,1,1,4.37906,0.338373,1.0,0.336521,7,7,g0,Native,Native,Native,0
19,1.70658e+09,1,1,5.04314,0.361243,1.0,0.337447,8,8,g0,Native,Native,Native,0
21,1.70658e+09,1,1,4.66119,0.355272,1.0,0.338373,9,9,g0,Native,Native,Native,0
23,1.70658e+09,1,1,5.08999,0.391967,1.0,0.3407795,10,10,g0,Native,Loose,Loose_L1,1
25,1.70658e+09,1,1,4.87231,0.371783,1.0,0.343186,11,11,g0,Loose,Loose,Loose_L1,0
27,1.70658e+09,1,1,5.64779,0.42642,1.0,0.349229,12,12,g0,Loose,Loose,Loose_L1,0
29,1.70658e+09,1,1,4.6584,0.346765,1.0,0.346765,13,13,g0,Loose,Loose,Loose_L1,0
31,1.70658e+09,1,1,4.68002,0.361636,1.0,0.3510185,14,14,g0,Loose,Loose,Loose_L1,0
33,1.70658e+09,1,1,4.61168,0.358387,1.0,0.355272,15,15,g0,Loose,Loose,Loose_L1,0
35,1.70658e+09,1,1,4.58856,0.35931,1.0,0.3568295,16,16,g0,Loose,Loose,Loose_L1,0
37,1.70658e+09,1,1,4.70903,0.369205,1.0,0.358387,17,17,g0,Loose,Loose,Loose_L1,0
39,1.70658e+09,1,1,4.81047,0.376012,1.0,0.3588485,18,18,g0,Loose,Loose,Loose_L1,0
41,1.70658e+09,1,1,4.47213,0.348532,1.0,0.358387,19,19,g0,Loose,Loose,Loose_L1,0
43,1.70658e+09,1,1,4.56445,0.362314,1.0,0.3588485,20,20,g0,Loose,Loose,Loose_L1,0
45,1.70658e+09,1,1,4.78449,0.383597,1.0,0.3602765,20,20,g0,Loose,Loose,Loose_L1,0
47,1.70658e+09,1,1,5.24263,0.379592,1.0,0.3614395,20,20,g0,Loose,Loose,Loose_L1,0
49,1.70658e+09,1,1,4.74791,0.372137,1.0,0.36197500000000005,20,20,g0,Loose,Loose,Loose_L1,0
51,1.70658e+09,1,1,4.2463,0.334717,1.0,0.3614395,20,20,g0,Loose,Loose,Loose_L1,0
53,1.70658e+09,1,1,5.73454,0.463309,1.0,0.36197500000000005,20,20,g0,Loose,Loose,Loose_L1,0
55,1.70658e+09,1,1,4.44109,0.337922,1.0,0.36197500000000005,20,20,g0,Loose,Loose,Loose_L1,0
57,1.70658e+09,1,1,4.86792,0.39373,1.0,0.3657595,20,20,g0,Loose,Loose,Loose_L1,0
59,1.70658e+09,1,1,5.36731,0.428614,1.0,0.370494,20,20,g0,Loose,Loose,Loose_L1,0
61,1.70658e+09,1,1,5.0238,0.392117,1.0,0.37195999999999996,20,20,g0,Loose,Loose,Loose_L1,0
63,1.70658e+09,1,1,5.045,0.394491,1.0,0.37195999999999996,20,20,g0,Loose,Loose,Loose_L1,0
65,1.70658e+09,1,1,4.46114,0.347615,1.0,0.370671,20,20,g0,Loose,Loose,Loose_L1,0
67,1.70658e+09,1,1,4.83421,0.389281,1.0,0.370671,20,20,g0,Loose,Loose,Loose_L1,0
69,1.70658e+09,1,1,4.38691,0.348125,1.0,0.370671,20,20,g0,Loose,Loose,Loose_L1,0
71,1.70658e+09,1,1,4.0688,0.327077,1.0,0.370671,20,20,g0,Loose,Loose,Loose_L1,0
73,1.70658e+09,1,1,4.09397,0.34368,1.0,0.370671,20,20,g0,Loose,Loose,Loose_L1,0
75,1.70658e+09,1,1,3.72499,0.303786,1.0,0.370671,20,20,g0,Loose,Loose,Loose_L1,0
77,1.70658e+09,1,1,4.20852,0.357354,1.0,0.3672255,20,20,g0,Loose,Loose,Loose_L1,0
79,1.70658e+09,1,1,4.82105,0.396458,1.0,0.3672255,20,20,g0,Loose,Loose,Loose_L1,0
81,1.70658e+09,1,1,3.98147,0.318239,1.0,0.3672255,20,20,g0,Loose,Loose,Loose_L1,0
83,1.70658e+09,1,1,3.79837,0.313894,1.0,0.3647455,20,20,g0,Loose,Loose,Loose_L1,0
85,1.70658e+09,1,1,4.03448,0.337678,1.0,0.3527395,20,20,g0,Loose,Loose,Loose_L1,0
87,1.70658e+09,1,1,5.17932,0.427728,1.0,0.3527395,20,20,g0,Loose,Loose,Loose_L1,0
89,1.70658e+09,1,1,3.89074,0.305284,1.0,0.34787,20,20,g0,Loose,Loose,Loose_L1,0
91,1.70658e+09,0,0,nan,nan,1.0,0.34787,20,20,g0,Loose,Loose,Native,0
93,1.70658e+09,1,1,3.79714,0.170233,1.0,0.34787,20,20,g0,Loose,Loose,Loose_L1,0
95,1.70658e+09,1,1,4.02797,0.32707,1.0,0.3456475,20,20,g0,Loose,Loose,Loose_L1,0
97,1.70658e+09,1,1,3.79772,0.317278,1.0,0.3456475,20,20,g0,Loose,Loose,Loose_L1,0
99,1.70658e+09,1,1,3.6765,0.308708,1.0,0.34067899999999995,20,20,g0,Loose,Loose,Loose_L1,0
101,1.70658e+09,1,1,3.5574,0.304926,1.0,0.3323775,20,20,g0,Loose,Loose,Loose_L1,0
103,1.70658e+09,1,1,3.56983,0.327044,1.0,0.3270735,20,20,g0,Loose,Loose,Loose_L1,0
105,1.70658e+09,1,1,3.78583,0.31703,1.0,0.32705700000000004,20,20,g0,Loose,Loose,Loose_L1,0
107,1.70658e+09,1,1,3.55847,0.300894,1.0,0.3226415,20,20,g0,Loose,Loose,Loose_L1,0
109,1.70658e+09,1,1,3.7831,0.298078,1.0,0.3177585,20,20,g0,Loose,Loose,Loose_L1,0
111,1.70658e+09,1,1,4.28441,0.360441,1.0,0.3177585,20,20,g0,Loose,Loose,Loose_L1,0
113,1.70658e+09,1,1,4.57854,0.378304,1.0,0.3177585,20,20,g0,Loose,Loose,Loose_L1,0
115,1.70658e+09,1,1,4.62856,0.349088,1.0,0.3177585,20,20,g0,Loose,Loose,Loose_L1,0
117,1.70658e+09,0,0,nan,nan,1.0,0.3177585,20,20,g0,Loose,Loose,Native,0
119,1.70658e+09,1,1,3.93012,0.174557,1.0,0.3177585,20,20,g0,Loose,Loose,Loose_L1,0
121,1.70658e+09,1,1,3.97106,0.300134,1.0,0.317154,20,20,g0,Loose,Loose,Loose_L1,0
123,1.70658e+09,1,1,3.81173,0.314303,1.0,0.31566649999999996,20,20,g0,Loose,Loose,Loose_L1,0
125,1.70658e+09,1,1,3.86146,0.328232,1.0,0.31566649999999996,20,20,g0,Loose,Loose,Loose_L1,0
127,1.70658e+09,1,1,3.92892,0.337676,1.0,0.317154,20,20,g0,Loose,Loose,Loose_L1,0
129,1.70658e+09,1,1,3.59224,0.302524,1.0,0.31566649999999996,20,20,g0,Loose,Loose,Loose_L1,0
131,1.70658e+09,1,1,4.73497,0.405807,1.0,0.31566649999999996,20,20,g0,Loose,Loose,Loose_L1,0
133,1.70658e+09,1,1,4.25023,0.321421,1.0,0.317154,20,20,g0,Loose,Loose,Loose_L1,0
135,1.70658e+09,1,1,3.8227,0.316289,1.0,0.317154,20,20,g0,Loose,Loose,Loose_L1,0
137,1.70658e+09,1,1,3.9035,0.334958,1.0,0.317154,20,20,g0,Loose,Loose,Loose_L1,0
139,1.70658e+09,1,1,4.5729,0.386618,1.0,0.3192255,20,20,g0,Loose,Loose,Loose_L1,0
141,1.70658e+09,1,1,4.20347,0.343487,1.0,0.32423250000000003,20,20,g0,Loose,Loose,Loose_L1,0
