sequence_frame,timestamp,registration_success,weak_flag,weak_multiplier,q_weak,rolling_weak_fraction,rolling_q_median,rolling_successful_frames,rolling_q_frames,gate_candidate,state_before,state_after,selected_estimator,mode_switch
5,1.70658e+09,1,1,2.80203,0.00161827,1.0,0.00161827,1,1,g1,Native,Native,Native,0
7,1.70658e+09,1,1,3.363,0.387901,1.0,0.194759635,2,2,g1,Native,Native,Native,0
9,1.70658e+09,1,1,3.24093,0.369672,1.0,0.369672,3,3,g1,Native,Native,Native,0
11,1.70658e+09,1,1,4.04989,0.462854,1.0,0.3787865,4,4,g1,Native,Native,Native,0
13,1.70658e+09,1,1,3.92027,0.433213,1.0,0.387901,5,5,g1,Native,Native,Native,0
15,1.70658e+09,1,1,3.86713,0.435821,1.0,0.410557,6,6,g1,Native,Native,Native,0
17,1.70658e+09,1,1,4.46835,0.508778,1.0,0.433213,7,7,g1,Native,Native,Native,0
19,1.70658e+09,1,1,4.59652,0.515817,1.0,0.43451700000000004,8,8,g1,Native,Native,Native,0
21,1.70658e+09,0,0,nan,nan,1.0,0.43451700000000004,8,8,g1,Native,Native,Native,0
23,1.70658e+09,1,1,5.13736,0.32122,1.0,0.433213,9,9,g1,Native,Native,Native,0
25,1.70658e+09,1,1,4.04488,0.416917,1.0,0.425065,10,10,g1,Native,Loose,Loose_L1,1
27,1.70658e+09,1,1,3.97491,0.501402,1.0,0.433213,11,11,g1,Loose,Loose,Loose_L1,0
29,1.70658e+09,1,1,4.44358,0.530192,1.0,0.43451700000000004,12,12,g1,Loose,Loose,Loose_L1,0
31,1.70658e+09,1,1,3.68308,0.435935,1.0,0.435821,13,13,g1,Loose,Loose,Loose_L1,0
33,1.70658e+09,1,1,5.05003,0.622118,1.0,0.435878,14,14,g1,Loose,Loose,Loose_L1,0
35,1.70658e+09,1,1,5.43552,0.628755,1.0,0.435935,15,15,g1,Loose,Loose,Loose_L1,0
37,1.70658e+09,1,1,6.40324,0.727204,1.0,0.44939450000000003,16,16,g1,Loose,Loose,Loose_L1,0
39,1.70658e+09,1,1,5.17657,0.559525,1.0,0.462854,17,17,g1,Loose,Loose,Loose_L1,0
41,1.70658e+09,1,1,4.92017,0.555064,1.0,0.482128,18,18,g1,Loose,Loose,Loose_L1,0
43,1.70658e+09,1,1,4.77597,0.559817,1.0,0.501402,19,19,g1,Loose,Loose,Loose_L1,0
45,1.70658e+09,1,1,4.16192,0.492621,1.0,0.4970115,20,20,g1,Loose,Loose,Loose_L1,0
47,1.70658e+09,1,1,5.94988,0.728298,1.0,0.50509,20,20,g1,Loose,Loose,Loose_L1,0
49,1.70658e+09,1,1,4.24063,0.479708,1.0,0.50509,20,20,g1,Loose,Loose,Loose_L1,0
51,1.70658e+09,1,1,4.25543,0.517282,1.0,0.5122975,20,20,g1,Loose,Loose,Loose_L1,0
53,1.70658e+09,1,1,4.27728,0.521416,1.0,0.5165495,20,20,g1,Loose,Loose,Loose_L1,0
55,1.70658e+09,1,1,4.89143,0.599686,1.0,0.5193490000000001,20,20,g1,Loose,Loose,Loose_L1,0
57,1.70658e+09,1,1,4.32789,0.518364,1.0,0.51989,20,20,g1,Loose,Loose,Loose_L1,0
59,1.70658e+09,1,1,6.00384,0.734555,1.0,0.5258039999999999,20,20,g1,Loose,Loose,Loose_L1,0
61,1.70658e+09,1,1,5.58305,0.63518,1.0,0.542628,20,20,g1,Loose,Loose,Loose_L1,0
63,1.70658e+09,0,0,nan,nan,1.0,0.542628,20,20,g1,Loose,Loose,Native,0
65,1.70658e+09,0,0,nan,nan,1.0,0.542628,20,20,g1,Loose,Loose,Native,0
67,1.70658e+09,1,1,5.41677,0.261573,1.0,0.542628,20,20,g1,Loose,Loose,Loose_L1,0
69,1.70658e+09,0,0,nan,nan,1.0,0.542628,20,20,g1,Loose,Loose,Native,0
71,1.70658e+09,0,0,nan,nan,1.0,0.542628,20,20,g1,Loose,Loose,Native,0
73,1.70658e+09,1,1,5.42685,0.25139,1.0,0.542628,20,20,g1,Loose,Loose,Loose_L1,0
75,1.70658e+09,1,1,4.28166,0.441608,1.0,0.542628,20,20,g1,Loose,Loose,Loose_L1,0
77,1.70658e+09,1,1,3.93535,0.485102,1.0,0.53824,20,20,g1,Loose,Loose,Loose_L1,0
79,1.70658e+09,1,1,5.00032,0.633309,1.0,0.5572945,20,20,g1,Loose,Loose,Loose_L1,0
81,1.70658e+09,1,1,6.22,0.750467,1.0,0.5572945,20,20,g1,Loose,Loose,Loose_L1,0
83,1.70658e+09,1,1,6.56886,0.747385,1.0,0.5572945,20,20,g1,Loose,Loose,Loose_L1,0
85,1.70658e+09,1,1,4.80553,0.533953,1.0,0.5445085000000001,20,20,g1,Loose,Loose,Loose_L1,0
87,1.70658e+09,0,0,nan,nan,1.0,0.5445085000000001,20,20,g1,Loose,Loose,Native,0
89,1.70658e+09,1,1,6.43575,0.462882,1.0,0.5276845,20,20,g1,Loose,Loose,Loose_L1,0
91,1.70658e+09,1,1,4.13815,0.428759,1.0,0.51989,20,20,g1,Loose,Loose,Loose_L1,0
93,1.70658e+09,1,1,5.6681,0.707182,1.0,0.51989,20,20,g1,Loose,Loose,Loose_L1,0
95,1.70658e+09,1,1,6.09214,0.724357,1.0,0.5276845,20,20,g1,Loose,Loose,Loose_L1,0
97,1.70658e+09,1,1,5.03051,0.579916,1.0,0.5276845,20,20,g1,Loose,Loose,Loose_L1,0
99,1.70658e+09,1,1,5.35121,0.645539,1.0,0.5569345,20,20,g1,Loose,Loose,Loose_L1,0
101,1.70658e+09,1,1,4.23372,0.503389,1.0,0.5569345,20,20,g1,Loose,Loose,Loose_L1,0
103,1.70658e+09,1,1,6.04391,0.768815,1.0,0.589801,20,20,g1,Loose,Loose,Loose_L1,0
105,1.70658e+09,1,1,5.74101,0.670505,1.0,0.6066125,20,20,g1,Loose,Loose,Loose_L1,0
107,1.70658e+09,1,1,5.87954,0.691243,1.0,0.6342445,20,20,g1,Loose,Loose,Loose_L1,0
109,1.70658e+09,1,1,5.21104,0.609716,1.0,0.6215125,20,20,g1,Loose,Loose,Loose_L1,0
111,1.70658e+09,1,1,5.967,0.7107,1.0,0.6215125,20,20,g1,Loose,Loose,Loose_L1,0
113,1.70658e+09,0,0,nan,nan,1.0,0.6215125,20,20,g1,Loose,Loose,Native,0
115,1.70658e+09,1,1,4.91337,0.346861,1.0,0.6215125,20,20,g1,Loose,Loose,Loose_L1,0
117,1.70658e+09,1,1,5.71036,0.64809,1.0,0.639424,20,20,g1,Loose,Loose,Loose_L1,0
119,1.70658e+09,1,1,4.88485,0.567296,1.0,0.639424,20,20,g1,Loose,Loose,Loose_L1,0
121,1.70658e+09,1,1,6.13846,0.747814,1.0,0.6468145000000001,20,20,g1,Loose,Loose,Loose_L1,0
123,1.70658e+09,1,1,4.97673,0.578703,1.0,0.6468145000000001,20,20,g1,Loose,Loose,Loose_L1,0
125,1.70658e+09,1,1,5.14936,0.623548,1.0,0.6345434999999999,20,20,g1,Loose,Loose,Loose_L1,0
127,1.70658e+09,1,1,5.03513,0.604407,1.0,0.6166320000000001,20,20,g1,Loose,Loose,Loose_L1,0
129,1.70658e+09,1,1,5.50943,0.673092,1.0,0.6345434999999999,20,20,g1,Loose,Loose,Loose_L1,0
131,1.70658e+09,1,1,7.90763,0.943805,1.0,0.6468145000000001,20,20,g1,Loose,Loose,Loose_L1,0
133,1.70658e+09,0,0,nan,nan,1.0,0.6468145000000001,20,20,g1,Loose,Loose,Native,0
135,1.70658e+09,1,1,5.7835,0.392374,1.0,0.6468145000000001,20,20,g1,Loose,Loose,Loose_L1,0
137,1.70658e+09,0,0,nan,nan,1.0,0.6468145000000001,20,20,g1,Loose,Loose,Native,0
139,1.70658e+09,1,1,5.67857,0.384293,1.0,0.6345434999999999,20,20,g1,Loose,Loose,Loose_L1,0
141,1.70658e+09,1,1,5.95195,0.647148,1.0,0.6345434999999999,20,20,g1,Loose,Loose,Loose_L1,0
143,1.70658e+09,1,1,6.37911,0.713607,1.0,0.6463435,20,20,g1,Loose,Loose,Loose_L1,0
145,1.70658e+09,1,1,7.7588,0.871518,1.0,0.647619,20,20,g1,Loose,Loose,Loose_L1,0
147,1.70658e+09,1,1,7.04885,0.760043,1.0,0.6592975000000001,20,20,g1,Loose,Loose,Loose_L1,0
149,1.70658e+09,1,1,9.09146,0.995655,1.0,0.6592975000000001,20,20,g1,Loose,Loose,Loose_L1,0
151,1.70658e+09,1,1,8.33439,0.868457,1.0,0.660591,20,20,g1,Loose,Loose,Loose_L1,0
153,1.70658e+09,1,1,8.90669,0.917573,1.0,0.660591,20,20,g1,Loose,Loose,Loose_L1,0
155,1.70658e+09,1,1,9.89301,1.00634,1.0,0.6918960000000001,20,20,g1,Loose,Loose,Loose_L1,0
157,1.70658e+09,1,1,9.2931,0.922503,1.0,0.6933495000000001,20,20,g1,Loose,Loose,Loose_L1,0
159,1.70658e+09,1,1,9.68527,0.967304,1.0,0.7307105,20,20,g1,Loose,Loose,Loose_L1,0
161,1.70658e+09,1,1,7.22065,0.702739,1.0,0.7307105,20,20,g1,Loose,Loose,Loose_L1,0
163,1.70658e+09,1,1,9.1919,0.991967,1.0,0.7539285,20,20,g1,Loose,Loose,Loose_L1,0
165,1.70658e+09,1,1,8.26298,0.844899,1.0,0.8024709999999999,20,20,g1,Loose,Loose,Loose_L1,0
167,1.70658e+09,1,1,10.0922,1.04352,1.0,0.856678,20,20,g1,Loose,Loose,Loose_L1,0
169,1.70658e+09,1,1,10.1567,1.00869,1.0,0.8699875,20,20,g1,Loose,Loose,Loose_L1,0
171,1.70658e+09,1,1,12.0867,1.17832,1.0,0.8945455,20,20,g1,Loose,Loose,Loose_L1,0
173,1.70658e+09,1,1,9.84819,0.9178,1.0,0.9176865,20,20,g1,Loose,Loose,Loose_L1,0
175,1.70658e+09,1,1,9.2196,0.90104,1.0,0.9093065,20,20,g1,Loose,Loose,Loose_L1,0
177,1.70658e+09,1,1,9.43562,0.938737,1.0,0.9176865,20,20,g1,Loose,Loose,Loose_L1,0
179,1.70658e+09,1,1,9.98376,0.998751,1.0,0.9201515,20,20,g1,Loose,Loose,Loose_L1,0
181,1.70658e+09,1,1,8.93013,0.873507,1.0,0.9201515,20,20,g1,Loose,Loose,Loose_L1,0
183,1.70658e+09,1,1,10.8264,1.09328,1.0,0.93062,20,20,g1,Loose,Loose,Loose_L1,0
185,1.70658e+09,1,1,10.5797,1.02997,1.0,0.9530205,20,20,g1,Loose,Loose,Loose_L1,0
187,1.70658e+09,1,1,8.83081,0.853257,1.0,0.9530205,20,20,g1,Loose,Loose,Loose_L1,0
189,1.70658e+09,1,1,9.02946,0.913675,1.0,0.93062,20,20,g1,Loose,Loose,Loose_L1,0
191,1.70658e+09,1,1,10.0495,1.01022,1.0,0.9530205,20,20,g1,Loose,Loose,Loose_L1,0
193,1.70658e+09,1,1,9.64298,0.953818,1.0,0.960561,20,20,g1,Loose,Loose,Loose_L1,0
195,1.70658e+09,1,1,10.8082,1.07763,1.0,0.960561,20,20,g1,Loose,Loose,Loose_L1,0
197,1.70658e+09,1,1,10.0408,0.968929,1.0,0.9681165,20,20,g1,Loose,Loose,Loose_L1,0
199,1.70658e+09,0,0,nan,nan,1.0,0.9681165,20,20,g1,Loose,Loose,Native,0
201,1.70658e+09,1,1,10.0905,0.639091,1.0,0.9613735000000001,20,20,g1,Loose,Loose,Loose_L1,0
203,1.70658e+09,1,1,10.1185,0.894525,1.0,0.9613735000000001,20,20,g1,Loose,Loose,Loose_L1,0
205,1.70658e+09,1,1,9.34834,0.890069,1.0,0.9462775000000001,20,20,g1,Loose,Loose,Loose_L1,0
207,1.70658e+09,1,1,9.17442,0.907229,1.0,0.9462775000000001,20,20,g1,Loose,Loose,Loose_L1,0
209,1.70658e+09,1,1,9.75264,0.968326,1.0,0.9462775000000001,20,20,g1,Loose,Loose,Loose_L1,0
211,1.70658e+09,1,1,8.95177,0.887347,1.0,0.9282684999999999,20,20,g1,Loose,Loose,Loose_L1,0
213,1.70658e+09,1,1,9.41261,0.954614,1.0,0.9282684999999999,20,20,g1,Loose,Loose,Loose_L1,0
215,1.70658e+09,1,1,9.1973,0.92219,1.0,0.9304635,20,20,g1,Loose,Loose,Loose_L1,0
217,1.70658e+09,0,0,nan,nan,1.0,0.9304635,20,20,g1,Loose,Loose,Native,0
219,1.70658e+09,1,1,9.57117,0.619026,1.0,0.9304635,20,20,g1,Loose,Loose,Loose_L1,0
221,1.70658e+09,1,1,9.80666,0.886328,1.0,0.9179325,20,20,g1,Loose,Loose,Loose_L1,0
223,1.70658e+09,1,1,10.0571,0.959948,1.0,0.9179325,20,20,g1,Loose,Loose,Loose_L1,0
225,1.70658e+09,0,0,nan,nan,1.0,0.9179325,20,20,g1,Loose,Loose,Native,0
227,1.70658e+09,1,1,9.19247,0.580941,1.0,0.9179325,20,20,g1,Loose,Loose,Loose_L1,0
229,1.70658e+09,1,1,9.14446,0.830548,1.0,0.910452,20,20,g1,Loose,Loose,Loose_L1,0
231,1.70658e+09,1,1,8.8181,0.870272,1.0,0.9008769999999999,20,20,g1,Loose,Loose,Loose_L1,0
233,1.70658e+09,1,1,8.7903,0.891262,1.0,0.9008769999999999,20,20,g1,Loose,Loose,Loose_L1,0
235,1.70658e+09,1,1,10.6011,1.07591,1.0,0.9008769999999999,20,20,g1,Loose,Loose,Loose_L1,0
237,1.70658e+09,1,1,9.12756,0.887685,1.0,0.8928935,20,20,g1,Loose,Loose,Loose_L1,0
239,1.70658e+09,1,1,10.3251,1.02719,1.0,0.8928935,20,20,g1,Loose,Loose,Loose_L1,0
241,1.70658e+09,1,1,9.06518,0.879969,1.0,0.8906655,20,20,g1,Loose,Loose,Loose_L1,0
243,1.70658e+09,1,1,9.86291,0.988315,1.0,0.8906655,20,20,g1,Loose,Loose,Loose_L1,0
245,1.70658e+09,1,1,7.9507,0.782947,1.0,0.8906655,20,20,g1,Loose,Loose,Loose_L1,0
247,1.70658e+09,1,1,9.91684,1.01826,1.0,0.8906655,20,20,g1,Loose,Loose,Loose_L1,0
249,1.70658e+09,1,1,9.4057,0.924085,1.0,0.8992454999999999,20,20,g1,Loose,Loose,Loose_L1,0
251,1.70658e+09,1,1,8.79011,0.877328,1.0,0.8894735,20,20,g1,Loose,Loose,Loose_L1,0
253,1.70658e+09,1,1,9.43334,0.960304,1.0,0.8894735,20,20,g1,Loose,Loose,Loose_L1,0
255,1.70658e+09,1,1,9.13212,0.921562,1.0,0.906412,20,20,g1,Loose,Loose,Loose_L1,0
257,1.70658e+09,1,1,9.11993,0.921287,1.0,0.9062745,20,20,g1,Loose,Loose,Loose_L1,0
