sequence_frame,timestamp,registration_success,weak_flag,weak_multiplier,q_weak,rolling_weak_fraction,rolling_q_median,rolling_successful_frames,rolling_q_frames,gate_candidate,state_before,state_after,selected_estimator,mode_switch
5,1.70554e+09,1,1,1.42952,0.000816006,1.0,0.000816006,1,1,g0,Native,Native,Native,0
7,1.70554e+09,1,1,2.43439,0.21789,1.0,0.109353003,2,2,g0,Native,Native,Native,0
9,1.70554e+09,1,1,2.385,0.198111,1.0,0.198111,3,3,g0,Native,Native,Native,0
11,1.70554e+09,1,1,2.31272,0.194122,1.0,0.1961165,4,4,g0,Native,Native,Native,0
13,1.70554e+09,1,1,2.27612,0.192171,1.0,0.194122,5,5,g0,Native,Native,Native,0
15,1.70554e+09,1,1,1.98868,0.169675,1.0,0.1931465,6,6,g0,Native,Native,Native,0
17,1.70554e+09,1,1,1.99118,0.174849,1.0,0.192171,7,7,g0,Native,Native,Native,0
19,1.70554e+09,1,1,1.71569,0.150915,1.0,0.18351,8,8,g0,Native,Native,Native,0
21,1.70554e+09,1,1,1.81024,0.164317,1.0,0.174849,9,9,g0,Native,Native,Native,0
23,1.70554e+09,1,1,1.93309,0.174568,1.0,0.1747085,10,10,g0,Native,Loose,Loose_L1,1
25,1.70554e+09,1,1,1.77164,0.159124,1.0,0.174568,11,11,g0,Loose,Loose,Loose_L1,0
27,1.70554e+09,0,0,nan,nan,1.0,0.174568,11,11,g0,Loose,Loose,Native,0
29,1.70554e+09,1,1,1.77748,0.0793152,1.0,0.17212149999999998,12,12,g0,Loose,Loose,Loose_L1,0
31,1.70554e+09,1,1,1.73316,0.157658,1.0,0.169675,13,13,g0,Loose,Loose,Loose_L1,0
33,1.70554e+09,1,1,1.72764,0.158938,1.0,0.16699599999999998,14,14,g0,Loose,Loose,Loose_L1,0
35,1.70554e+09,1,1,1.83403,0.167374,1.0,0.167374,15,15,g0,Loose,Loose,Loose_L1,0
37,1.70554e+09,1,1,1.82696,0.166576,1.0,0.16697499999999998,16,16,g0,Loose,Loose,Loose_L1,0
39,1.70554e+09,0,0,nan,nan,1.0,0.16697499999999998,16,16,g0,Loose,Loose,Native,0
41,1.70554e+09,0,0,nan,nan,1.0,0.16697499999999998,16,16,g0,Loose,Loose,Native,0
43,1.70554e+09,1,1,1.7325,0.0511015,1.0,0.166576,17,17,g0,Loose,Loose,Loose_L1,0
45,1.70554e+09,1,1,1.52967,0.141578,1.0,0.1654465,18,18,g0,Loose,Loose,Loose_L1,0
47,1.70554e+09,1,1,1.64758,0.155083,1.0,0.164317,19,19,g0,Loose,Loose,Loose_L1,0
49,1.70554e+09,1,1,1.68525,0.160584,1.0,0.1624505,20,20,g0,Loose,Loose,Loose_L1,0
51,1.70554e+09,1,1,1.55666,0.147485,1.0,0.1624505,20,20,g0,Loose,Loose,Loose_L1,0
53,1.70554e+09,1,1,1.60243,0.153709,1.0,0.159854,20,20,g0,Loose,Loose,Loose_L1,0
55,1.70554e+09,1,1,1.62622,0.155126,1.0,0.15903099999999998,20,20,g0,Loose,Loose,Loose_L1,0
57,1.70554e+09,1,1,1.55547,0.14846,1.0,0.158298,20,20,g0,Loose,Loose,Loose_L1,0
59,1.70554e+09,1,1,1.29922,0.123356,1.0,0.15639199999999998,20,20,g0,Loose,Loose,Loose_L1,0
61,1.70554e+09,1,1,1.65595,0.162689,1.0,0.15639199999999998,20,20,g0,Loose,Loose,Loose_L1,0
63,1.70554e+09,1,1,1.60798,0.150248,1.0,0.15510449999999998,20,20,g0,Loose,Loose,Loose_L1,0
65,1.70554e+09,1,1,1.45114,0.136967,1.0,0.15510449999999998,20,20,g0,Loose,Loose,Loose_L1,0
67,1.70554e+09,1,1,1.42559,0.136597,1.0,0.154396,20,20,g0,Loose,Loose,Loose_L1,0
69,1.70554e+09,1,1,1.51451,0.145631,1.0,0.15197850000000002,20,20,g0,Loose,Loose,Loose_L1,0
71,1.70554e+09,1,1,1.29835,0.122749,1.0,0.149354,20,20,g0,Loose,Loose,Loose_L1,0
73,1.70554e+09,1,1,1.27411,0.123659,1.0,0.149354,20,20,g0,Loose,Loose,Loose_L1,0
75,1.70554e+09,1,1,1.5391,0.148995,1.0,0.1487275,20,20,g0,Loose,Loose,Loose_L1,0
77,1.70554e+09,1,1,1.34757,0.128089,1.0,0.1479725,20,20,g0,Loose,Loose,Loose_L1,0
79,1.70554e+09,1,1,1.36375,0.133458,1.0,0.14655800000000002,20,20,g0,Loose,Loose,Loose_L1,0
81,1.70554e+09,1,1,1.38791,0.133908,1.0,0.14360450000000002,20,20,g0,Loose,Loose,Loose_L1,0
83,1.70554e+09,1,1,1.38721,0.133235,1.0,0.14360450000000002,20,20,g0,Loose,Loose,Loose_L1,0
85,1.70554e+09,1,1,1.38373,0.134936,1.0,0.141299,20,20,g0,Loose,Loose,Loose_L1,0
87,1.70554e+09,1,1,1.32401,0.129535,1.0,0.13678200000000001,20,20,g0,Loose,Loose,Loose_L1,0
89,1.70554e+09,1,1,1.33293,0.131916,1.0,0.1357665,20,20,g0,Loose,Loose,Loose_L1,0
91,1.70554e+09,1,1,1.27952,0.125126,1.0,0.13442199999999999,20,20,g0,Loose,Loose,Loose_L1,0
93,1.70554e+09,1,1,1.18954,0.115499,1.0,0.133683,20,20,g0,Loose,Loose,Loose_L1,0
95,1.70554e+09,1,1,1.23326,0.123289,1.0,0.13334649999999998,20,20,g0,Loose,Loose,Loose_L1,0
97,1.70554e+09,0,0,nan,nan,1.0,0.13334649999999998,20,20,g0,Loose,Loose,Native,0
99,1.70554e+09,0,0,nan,nan,1.0,0.13334649999999998,20,20,g0,Loose,Loose,Native,0
101,1.70554e+09,1,1,1.69976,0.0544376,1.0,0.1325755,20,20,g0,Loose,Loose,Loose_L1,0
103,1.70554e+09,0,0,nan,nan,1.0,0.1325755,20,20,g0,Loose,Loose,Native,0
105,1.70554e+09,1,1,1.41268,0.0673674,1.0,0.1325755,20,20,g0,Loose,Loose,Loose_L1,0
107,1.70554e+09,0,0,nan,nan,1.0,0.1325755,20,20,g0,Loose,Loose,Native,0
109,1.70554e+09,1,1,1.30381,0.0626424,1.0,0.1307255,20,20,g0,Loose,Loose,Loose_L1,0
111,1.70554e+09,1,1,1.56053,0.152007,1.0,0.1307255,20,20,g0,Loose,Loose,Loose_L1,0
113,1.70554e+09,1,1,1.39697,0.133756,1.0,0.1307255,20,20,g0,Loose,Loose,Loose_L1,0
115,1.70554e+09,1,1,1.27391,0.124037,1.0,0.128812,20,20,g0,Loose,Loose,Loose_L1,0
117,1.70554e+09,1,1,1.37599,0.1352,1.0,0.128812,20,20,g0,Loose,Loose,Loose_L1,0
119,1.70554e+09,1,1,1.41198,0.136494,1.0,0.1307255,20,20,g0,Loose,Loose,Loose_L1,0
121,1.70554e+09,1,1,1.26382,0.121683,1.0,0.1307255,20,20,g0,Loose,Loose,Loose_L1,0
123,1.70554e+09,1,1,1.25583,0.12563,1.0,0.128812,20,20,g0,Loose,Loose,Loose_L1,0
125,1.70554e+09,1,1,1.24391,0.121804,1.0,0.1275825,20,20,g0,Loose,Loose,Loose_L1,0
127,1.70554e+09,1,1,1.32972,0.129933,1.0,0.1275825,20,20,g0,Loose,Loose,Loose_L1,0
129,1.70554e+09,1,1,1.28344,0.125321,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
131,1.70554e+09,1,1,1.35018,0.134152,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
133,1.70554e+09,1,1,1.30796,0.129143,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
135,1.70554e+09,1,1,1.27445,0.126841,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
137,1.70554e+09,1,1,1.21872,0.120552,1.0,0.1252235,20,20,g0,Loose,Loose,Loose_L1,0
139,1.70554e+09,1,1,1.26147,0.123266,1.0,0.12467899999999998,20,20,g0,Loose,Loose,Loose_L1,0
141,1.70554e+09,1,1,1.17774,0.117498,1.0,0.12467899999999998,20,20,g0,Loose,Loose,Loose_L1,0
143,1.70554e+09,1,1,1.11853,0.110455,1.0,0.12467899999999998,20,20,g0,Loose,Loose,Loose_L1,0
145,1.70554e+09,1,1,1.19115,0.119847,1.0,0.12467899999999998,20,20,g0,Loose,Loose,Loose_L1,0
147,1.70554e+09,1,1,1.36506,0.134915,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
149,1.70554e+09,1,1,1.27151,0.123674,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
151,1.70554e+09,1,1,1.36566,0.134545,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
153,1.70554e+09,0,0,nan,nan,1.0,0.1254755,20,20,g0,Loose,Loose,Native,0
155,1.70554e+09,1,1,1.3626,0.0671579,1.0,0.12467899999999998,20,20,g0,Loose,Loose,Loose_L1,0
157,1.70554e+09,1,1,1.45042,0.14251,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
159,1.70554e+09,1,1,1.36353,0.134398,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
161,1.70554e+09,1,1,1.49999,0.14812,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
163,1.70554e+09,1,1,1.40861,0.138698,1.0,0.1262355,20,20,g0,Loose,Loose,Loose_L1,0
165,1.70554e+09,1,1,1.28428,0.126612,1.0,0.12672650000000002,20,20,g0,Loose,Loose,Loose_L1,0
167,1.70554e+09,0,0,nan,nan,1.0,0.12672650000000002,20,20,g0,Loose,Loose,Native,0
169,1.70554e+09,1,1,1.20585,0.0595951,1.0,0.12672650000000002,20,20,g0,Loose,Loose,Loose_L1,0
171,1.70554e+09,1,1,1.19906,0.119422,1.0,0.12596649999999998,20,20,g0,Loose,Loose,Loose_L1,0
