[rosmaster.main][INFO] 2026-08-31 02:57:21,301: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-08-31 02:57:21,301: Starting ROS Master Node
[xmlrpc][INFO] 2026-08-31 02:57:21,303: XML-RPC server binding to 0.0.0.0:11326
[xmlrpc][INFO] 2026-08-31 02:57:21,303: Started XML-RPC server [http://robot:11326/]
[rosmaster.master][INFO] 2026-08-31 02:57:21,303: Master initialized: port[11326], uri[http://robot:11326/]
[xmlrpc][INFO] 2026-08-31 02:57:21,303: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-08-31 02:57:24,525: +PARAM [/lio/map/save_map] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,527: +PARAM [/lio/map/if_filter] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,527: +PARAM [/lio/map/save_map_dir] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,528: +PARAM [/lio/map/map_name] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,529: +PARAM [/lio/map/ds_size] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,531: +PARAM [/lio/map/save_interval] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,532: +PARAM [/lio/ros/lidar_topic] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,533: +PARAM [/lio/ros/imu_topic] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,534: +PARAM [/lio/sensor/lidar_type] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,535: +PARAM [/lio/sensor/blind] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,536: +PARAM [/lio/sensor/maxrange] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,537: +PARAM [/lio/sensor/filter_rate] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,538: +PARAM [/lio/sensor/enable_downsample] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,539: +PARAM [/lio/sensor/voxel_fliter_size] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,540: +PARAM [/lio/sensor/gravity_norm] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,541: +PARAM [/lio/sensor/imu_type] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,542: +PARAM [/lio/sensor/imu_na] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,543: +PARAM [/lio/sensor/imu_ng] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,544: +PARAM [/lio/sensor/imu_nba] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,545: +PARAM [/lio/sensor/imu_nbg] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,546: +PARAM [/lio/extrinsic/lidar_imu] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,547: +PARAM [/lio/extrinsic/odom_robo] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,548: +PARAM [/lio/hash_map/hash_capacity] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,549: +PARAM [/lio/hash_map/vox_resolution] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,550: +PARAM [/lio/kf/kf_type] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,551: +PARAM [/lio/kf/kf_max_iterations] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,552: +PARAM [/lio/kf/kf_align_gravity] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,553: +PARAM [/lio/kf/kf_quit_eps] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,553: +PARAM [/lio/output/robot] by /rosparam-314982
[rosmaster.master][INFO] 2026-08-31 02:57:24,554: +PARAM [/lio/output/plan_env_world] by /rosparam-314982
