timestamp,attempted,la_pa,la_pr,lr_pa,lr_pr,inv_nf,inv_neg,r_min,r_mean,r_max,s_min,s_mean,s_max,z_min,z_mean,z_max,pv_min,pv_mean,pv_max,sv_min,sv_mean,sv_max,rv_min,rv_mean,rv_max,tv_min,tv_mean,tv_max,cnt_mean_mean,cnt_max_mean,probe_rescued,bin1_n,bin1_lapr,bin2_n,bin2_lapr,bin3_n,bin3_lapr,bin4_n,bin4_lapr,bin5_n,bin5_lapr,bin1_pv,bin1_z,bin2_pv,bin2_z,bin3_pv,bin3_z,bin4_pv,bin4_z,bin5_pv,bin5_z
1609059013.77,1263,1262,0,1,0,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,0,0,0,7,0,1111,0,109,0,29,0,7,0,0,0,0,0,0,0,0,0,0,0
1609059013.86,1369,1368,0,1,0,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,0,0,0,8,0,1062,0,256,0,34,0,9,0,0,0,0,0,0,0,0,0,0,0
1609059013.96,1429,1428,1,0,0,0,0,0.157829529912,0.157829529912,0.157829529912,0.00141801815511,0.00141801815511,0.00141801815511,4.19128668196,4.19128668196,4.19128668196,0.000830467725915,0.000830467725915,0.000830467725915,0.000395708451179,0.000395708451179,0.000395708451179,0.000164382890386,0.000164382890386,0.000164382890386,2.74590876317e-05,2.74590876317e-05,2.74590876317e-05,5.19999980927,8,1,3,0,837,0,539,1,41,0,9,0,0,0,0,0,0.000830467725915,4.19128668196,0,0,0,0
1609059014.07,1494,1494,0,0,0,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,0,0,0,8,0,734,0,701,0,44,0,7,0,0,0,0,0,0,0,0,0,0,0
1609059014.16,1543,1541,2,0,0,0,0,0.202698789037,0.276610565531,0.350522342026,0.00359218499107,0.00383085716711,0.00406952934314,3.38198601318,4.43834064618,5.49469527918,0.00114579406531,0.00162745523794,0.00210911641058,0.000243969106155,0.000276531240044,0.000309093373933,0.00121691800632,0.00189072388176,0.00256452975721,2.21814680152e-05,3.61468073567e-05,5.01121466982e-05,5.20000004768,8,1,4,0,639,0,844,2,49,0,7,0,0,0,0,0,0.00162745523794,4.43834064618,0,0,0,0
1609059014.26,1549,1548,0,0,1,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,0,0,0,3,0,525,0,949,0,63,0,9,0,0,0,0,0,0,0,0,0,0,0
1609059014.37,1607,1605,1,1,0,0,0,0.104268221131,0.104268221131,0.104268221131,0.000581405350808,0.000581405350808,0.000581405350808,4.32426650912,4.32426650912,4.32426650912,9.67183757981e-05,9.67183757981e-05,9.67183757981e-05,0.000396040333558,0.000396040333558,0.000396040333558,6.51127427489e-05,6.51127427489e-05,6.51127427489e-05,2.35338987026e-05,2.35338987026e-05,2.35338987026e-05,6.40000009537,10,0,0,0,467,0,1049,1,81,0,10,0,0,0,0,0,9.67183757981e-05,4.32426650912,0,0,0,0
1609059014.46,1642,1641,1,0,0,0,0,0.141561543001,0.141561543001,0.141561543001,0.000567033117757,0.000567033117757,0.000567033117757,5.9448523867,5.9448523867,5.9448523867,9.37351213588e-05,9.37351213588e-05,9.37351213588e-05,0.00039604300353,0.00039604300353,0.00039604300353,5.59273420298e-05,5.59273420298e-05,5.59273420298e-05,2.13276508382e-05,2.13276508382e-05,2.13276508382e-05,6.40000009537,10,0,1,0,341,0,1180,1,109,0,11,0,0,0,0,0,9.37351213588e-05,5.9448523867,0,0,0,0
1609059014.57,1671,1666,2,1,2,0,0,0.0487376262453,0.0916087928366,0.134479959428,0.000152611001055,0.000362029065836,0.000571447130617,3.94522205766,4.78541551184,5.62560896601,2.33342097417e-05,5.8507865124e-05,9.36815205064e-05,7.51803446856e-05,0.000235618905641,0.000396057466596,2.51990959916e-05,4.33339892556e-05,6.14688825197e-05,2.02392609947e-05,2.45683058154e-05,2.88973506361e-05,4.20000004768,7.5,0,4,0,300,1,1201,1,154,0,12,0,0,0,2.33342097417e-05,3.94522205766,9.36815205064e-05,5.62560896601,0,0,0,0
1609059014.67,1679,1678,1,0,0,0,0,0.208295352908,0.208295352908,0.208295352908,0.000561190659031,0.000561190659031,0.000561190659031,8.79274268791,8.79274268791,8.79274268791,8.87684687495e-05,8.87684687495e-05,8.87684687495e-05,0.000396057220553,0.000396057220553,0.000396057220553,5.72811457531e-05,5.72811457531e-05,5.72811457531e-05,1.90838239757e-05,1.90838239757e-05,1.90838239757e-05,6.40000009537,10,0,2,0,277,0,1100,1,287,0,13,0,0,0,0,0,8.87684687495e-05,8.79274268791,0,0,0,0
1609059014.76,1691,1690,1,0,0,0,0,0.0905560348249,0.0905560348249,0.0905560348249,0.000604449171688,0.000604449171688,0.000604449171688,3.68330348923,3.68330348923,3.68330348923,5.2074183009e-05,5.2074183009e-05,5.2074183009e-05,0.000327383191941,0.000327383191941,0.000327383191941,0.000207140600206,0.000207140600206,0.000207140600206,1.78511965314e-05,1.78511965314e-05,1.78511965314e-05,13.6000003815,14,1,0,0,263,0,1062,0,351,1,15,0,0,0,0,0,0,0,5.2074183009e-05,3.68330348923,0,0
1609059014.85,1696,1695,1,0,0,0,0,0.0920832046809,0.0920832046809,0.0920832046809,0.000723410515682,0.000723410515682,0.000723410515682,3.42363940609,3.42363940609,3.42363940609,8.85621631175e-05,8.85621631175e-05,8.85621631175e-05,0.000323655939188,0.000323655939188,0.000323655939188,0.000294497791126,0.000294497791126,0.000294497791126,1.66946222511e-05,1.66946222511e-05,1.66946222511e-05,12.3999996185,15,1,2,0,220,0,1061,0,384,1,29,0,0,0,0,0,0,0,8.85621631175e-05,3.42363940609,0,0
1609059014.97,1715,1714,0,1,0,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,0,0,0,1,0,219,0,914,0,549,0,32,0,0,0,0,0,0,0,0,0,0,0
1609059015.06,1749,1749,0,0,0,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,0,0,0,0,0,218,0,878,0,610,0,43,0,0,0,0,0,0,0,0,0,0,0
1609059015.16,1762,1762,0,0,0,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,0,0,0,2,0,176,0,879,0,640,0,65,0,0,0,0,0,0,0,0,0,0,0
1609059015.27,1758,1758,0,0,0,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,0,0,0,1,0,164,0,795,0,626,0,172,0,0,0,0,0,0,0,0,0,0,0
1609059015.36,1761,1760,1,0,0,0,0,0.0799855449368,0.0799855449368,0.0799855449368,0.000692120552042,0.000692120552042,0.000692120552042,3.04032937248,3.04032937248,3.04032937248,6.19844393393e-05,6.19844393393e-05,6.19844393393e-05,0.000323226534979,0.000323226534979,0.000323226534979,0.000292101223451,0.000292101223451,0.000292101223451,1.4808354273e-05,1.4808354273e-05,1.4808354273e-05,16.3999996185,20,1,0,0,146,0,775,0,635,0,205,1,0,0,0,0,0,0,0,0,6.19844393393e-05,3.04032937248
